Time        | File Name                                                              
2m21.68s    | Specific/montgomery64_2e254m127x2e240m1_4limbs/femul                   
2m21.62s    | Specific/montgomery64_2e256m2e32m977_4limbs/femul                      
2m21.37s    | Specific/solinas32_2e452m3_18limbs/Synthesis                           
2m21.26s    | Specific/montgomery64_2e256m4294968273_4limbs/femul                    
2m21.10s    | Specific/montgomery32_2e383m421_12limbs/feadd                          
2m21.07s    | Specific/montgomery64_2e255m765_4limbs/femul                           
2m20.94s    | Specific/montgomery64_2e235m15_4limbs/femul                            
2m20.60s    | Specific/montgomery64_2e256m2e224p2e192p2e96m1_4limbs/femul            
2m20.47s    | Specific/montgomery32_2e383m187_12limbs/feadd                          
2m19.84s    | Specific/montgomery32_2e383m31_12limbs/feadd                           
2m19.69s    | Specific/montgomery32_2e127m1_4limbs/femul                             
2m19.14s    | Specific/montgomery32_2e382m105_12limbs/feadd                          
2m18.70s    | Specific/montgomery32_2e384m317_12limbs/feadd                          
2m18.59s    | Specific/montgomery32_2e384m5x2e368m1_12limbs/feadd                    
2m18.59s    | Specific/montgomery32_2e384m79x2e376m1_12limbs/feadd                   
2m18.41s    | Specific/solinas32_2e336m17_13limbs/fesquare                           
2m18.36s    | Specific/solinas32_2e383m187_17limbs/freeze                            
2m18.30s    | Specific/solinas32_2e468m17_18limbs/freeze                             
2m18.10s    | Specific/solinas64_2e488m17_10limbs/femul                              
2m17.98s    | Specific/solinas32_2e255m765_13limbs/fesquare                          
2m17.74s    | Specific/solinas32_2e321m9_13limbs/fesquare                            
2m17.19s    | Specific/solinas32_2e336m3_13limbs/fesquare                            
2m16.94s    | Specific/montgomery32_2e384m2e128m2e96p2e32m1_12limbs/feadd            
2m16.73s    | Specific/solinas32_2e444m17_18limbs/Synthesis                          
2m16.08s    | Specific/solinas32_2e192m2e64m1_10limbs/fesquare                       
2m15.99s    | Specific/solinas32_2e450m2e225m1_20limbs/fesub                         
2m15.30s    | Specific/solinas32_2e488m17_20limbs/fesub                              
2m14.79s    | Specific/solinas32_2e495m31_20limbs/fesub                              
2m13.80s    | Specific/solinas32_2e192m2e64m1_9limbs/femul                           
2m13.79s    | Specific/montgomery32_2e379m19_12limbs/feadd                           
2m13.70s    | Specific/solinas32_2e521m1_19limbs/freeze                              
2m13.69s    | Specific/solinas32_2e489m21_20limbs/feadd                              
2m13.67s    | Specific/solinas32_2e480m2e240m1_20limbs/fesub                         
2m13.52s    | Specific/solinas64_2e495m31_10limbs/femul                              
2m13.44s    | Specific/solinas32_2e521m1_20limbs/feadd                               
2m12.36s    | Specific/montgomery32_2e369m25_12limbs/feadd                           
2m11.92s    | Specific/solinas32_2e488m17_19limbs/freeze                             
2m11.84s    | Specific/solinas32_2e480m2e240m1_18limbs/freeze                        
2m10.38s    | Specific/solinas32_2e489m21_19limbs/freeze                             
2m09.65s    | Specific/solinas32_2e384m317_18limbs/freeze                            
2m08.70s    | Specific/solinas32_2e452m3_18limbs/freeze                              
2m08.37s    | Specific/solinas32_2e450m2e225m1_20limbs/feadd                         
2m07.52s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_18limbs/freeze              
2m07.37s    | Specific/solinas32_2e495m31_20limbs/feadd                              
2m06.95s    | Specific/solinas32_2e256m189_12limbs/fesquare                          
2m06.40s    | Specific/solinas32_2e480m2e240m1_20limbs/feadd                         
2m05.95s    | Specific/solinas32_2e488m17_20limbs/feadd                              
2m05.52s    | Specific/solinas32_2e255m765_12limbs/fesquare                          
2m04.66s    | Specific/solinas32_2e416m2e208m1_18limbs/freeze                        
2m03.74s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_18limbs/Synthesis           
2m03.56s    | Specific/solinas64_2e511m187_11limbs/fesquare                          
2m02.78s    | Specific/solinas32_2e291m19_11limbs/femul                              
